0;The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.
0;The Atlanta streetcar is expected to create 930 jobs during construction totaling more than 5600 jobs over the next 20 years.
0.75;Raising the minimum wage to $10.10 an hour would help lift over a million Americans out of poverty.
0.75;Says Secretary of State John Kerry when he was a senator flew to Managua and met with a communist dictator there Daniel Ortega and accused the Reagan administration of engaging in terrorism.
0;NATO is opening up a major terror division. ... Im sure Im not going to get credit for it but that was largely because of what I was saying and my criticism of NATO.
1;Sen. Obama has always had a 100 percent prochoice rating.
0.5;Since Gina Raimondo took office investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.
1;The federal debt is growing by more than $4 billion a day.
0.5;Under President Barack Obamas jobs bill states would no longer have to lay off teachers firefighters and police officers.
0;Of our 98000 teachers who are K-12 over 53000 of those teachers today are over 50 years old.
0.75;Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.
0.5;Under President Obamas health-care reforms the premium for an average plan for a family didnt go down by $2500 per year its gone up about $2500 per year.
0.5;The IRS also investigated liberal groups groups that had progressive in their name. ... The IRS was basically looking at everybody.
0.25;Says Obama promised unemployment would never go above 8 percent.
1;The economy is creating jobs at the fastest pace since 1999.
0.75;President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.
0.75;In a majority of states you can now marry freely but can still be fired for who you love.
0;Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.
0;Rudy Giuliani is probably the most underqualified man since George Bush to seek the presidency.
0;About half of the presidents have been governors
0.75;After Britains vote to leave the European Union within 24 hours Americans lost $100 billion from our 401ks.
0.75;Medicaid spending declined by 1.9 percent in 2012 the second such decline in 47 years.
1;Says 88 Texas constables have died in the line of duty.
0.75;Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20000.
0.75;The city of Columbus would save $41 million a year if employees had to contribute to their own guaranteed-check pensions.
1;As Floridas CFO I shut down Krakows scam and refunded more than $1.2 million to Josephine and other victims of this con man.
0.75;You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.
0;The Air Force wants taxpayers to fund a fantasy football league.
0;Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.
0.5;About 3 percent of murders and crimes are committed with guns from people who actually legally purchase those guns.
0.75;Some neighborhood schools are closing.
0.75;He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.
0.75;The years that I was speaker the Florida House consistently offered leaner budgets than the governor offered.
0.25;We are already almost halfway to our 2010 goal of creating 700000 new jobs in seven years.
1;Says the U.S. Supreme Court found that Social Security is not guaranteed.
0;SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.
1;Oregonians have an amazing no-cost way to fight abortion with free political donations
0;The president said hes going to bring in 250000 Syrian and Iraqi refugees into this country.
0.25;Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support.
0.75;Newt Gingrichs immigration plan offers a new doorway to amnesty.
0;Mr. Caprio is a career politician who has never worked in the private sector.
0.25;In Rhode Island 9 percent of workers use the states temporary disability insurance program each year while in New Jersey the rate is only 3 percent.
0.75;In just 17 years spending for Social Security federal health care and interest on the debt will exceed ALL tax revenue!
0.75;President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.
0.5;Donald Trump has said nuclear proliferation is OK.
1;Hillary Clinton has taken over $800000 from lobbyists.
0;Barack Obama has never even worked in business.
0.5;Says the Arizona immigration law expressly bans racial profiling.
